Conta,Unidade,Mês,Valor
Ingreso Bruto,AGS,IRA,41213.98545
Ingreso Bruto,AGS,IRA,34905.36414000001
Ingreso Bruto,AGS,IRA,40905.69156000001
Ingreso Bruto,AGS,IRA,32120.84558999999
Ingreso Bruto,AGS,IRA,47177.86165000001
Ingreso Bruto,AGS,IRA,45555.85943000001
Ingreso Bruto,AGS,IRA,47608.68973000001
Ingreso Bruto,AGS,IRA,48594.680609999974
Ingreso Bruto,AGS,IRA,43808.611990000005
Ingreso Bruto,AGS,IRA,48310.76614999998
Ingreso Bruto,AGS,IRA,41693.822349999995
Ingreso Bruto,AGS,IRA,43680.97853000002
Ingreso Bruto,AGS,IRA,196323.74839000002
Ingreso Bruto,AGS,IRA,35989.93984000001
Ingreso Bruto,AGS,IRA,43611.64607
Ingreso Bruto,AGS,IRA,49658.92305999997
Ingreso Bruto,AGS,IRA,46283.64513999998
Ingreso Bruto,AGS,IRA,0.0
Ingreso Bruto,AGS,IRA,0.0
Ingreso Bruto,AGS,IRA,0.0
Ingreso Bruto,AGS,IRA,0.0
Ingreso Bruto,AGS,IRA,0.0
Ingreso Bruto,AGS,IRA,0.0
Ingreso Bruto,AGS,IRA,0.0
Ingreso Bruto,AGS,IRA,0.0
Ingreso Bruto,AGS,IRA,175544.15410999997
Ingreso Bruto,AGS,IRA,45073.19822428618
Ingreso Bruto,AGS,IRA,41082.81933077556
Ingreso Bruto,AGS,IRA,41897.0810365882
Ingreso Bruto,AGS,IRA,36732.46014650962
Ingreso Bruto,AGS,IRA,42931.20349786251
Ingreso Bruto,AGS,IRA,42738.979453320055
Ingreso Bruto,AGS,IRA,44531.0384621053
Ingreso Bruto,AGS,IRA,42975.673383203146
Ingreso Bruto,AGS,IRA,40557.82636000315
Ingreso Bruto,AGS,IRA,43727.36870225302
Ingreso Bruto,AGS,IRA,44176.43685714083
Ingreso Bruto,AGS,IRA,44424.409731964995
Ingreso Bruto,AGS,nan,0.0
Ingreso Bruto,AGS,IRA,36732.46014650962
Ingreso Bruto,AGS,IRA,207716.76223602204
Ingreso Bruto,AGS,IRA,0.44092237579228666
Ingreso Bruto,AGS,IRA,0.2600202914641405
Ingreso Bruto,AGS,IRA,-0.15488691321630244
Ingreso Bruto,AGS,REGIÓN 2,267750.07834999997
Ingreso Bruto,AGS,REGIÓN 2,1043668.6262699999
Ingreso Bruto,AGS,Región 1,181367.50374
Ingreso Bruto,AGS,Región 2,267750.07834999997
Ingreso Bruto,AGS,Región 3,117155.05237000005
Ingreso Bruto,AGS,Regiones,566272.63446
Ingreso Bruto,AGS,Región 1,645828.8814500002
Ingreso Bruto,AGS,Región 2,1043619.11837
Ingreso Bruto,AGS,Región 3,458757.75412
